session_id,user_id,country,user_action,timestamp,readable_timestamp,hour,day,month
7172,79414,South Africa,Viewed Trainer: Alex Johnson,"09/05/2025, 01:47 PM",,,,
7172,79414,South Africa,Visited Plans,"09/05/2025, 01:59 PM",,,,
7172,79414,South Africa,Visited Home,"09/05/2025, 01:53 PM",,,,
7172,79414,South Africa,Visited Trainers,"09/05/2025, 02:32 PM",,,,
7172,79414,South Africa,Viewed Plan: Pro,"09/05/2025, 02:43 PM",,,,
7773,79414,South Africa,Visited Home,"08/27/2025, 01:47 PM",,,,
7773,79414,South Africa,Viewed Plan: Elite,"08/27/2025, 01:52 PM",,,,
7773,79414,South Africa,Viewed Plan: Basic,"08/27/2025, 01:55 PM",,,,
7773,79414,South Africa,Visited Contact,"08/27/2025, 02:20 PM",,,,
9034,68324,Nigeria,Viewed Plan: Elite,"10/31/2025, 01:47 PM",,,,
9034,68324,Nigeria,Viewed Trainer: Mia Carter,"10/31/2025, 01:53 PM",,,,
9034,68324,Nigeria,Visited Trainers,"10/31/2025, 02:03 PM",,,,
9034,68324,Nigeria,Visited Plans,"10/31/2025, 02:14 PM",,,,
8368,68324,Nigeria,Visited Trainers,"10/01/2025, 01:47 PM",,,,
8368,68324,Nigeria,Viewed Trainer: Liam Smith,"10/01/2025, 01:52 PM",,,,
8368,68324,Nigeria,Visited Contact,"10/01/2025, 02:15 PM",,,,
8368,68324,Nigeria,Viewed Trainer: Mia Carter,"10/01/2025, 02:23 PM",,,,
8368,68324,Nigeria,Viewed Plan: Basic,"10/01/2025, 02:11 PM",,,,
8368,68324,Nigeria,Visited Home,"10/01/2025, 03:02 PM",,,,
9502,68324,Nigeria,Viewed Plan: Basic,"09/03/2025, 01:47 PM",,,,
9502,68324,Nigeria,Viewed Plan: Elite,"09/03/2025, 01:57 PM",,,,
9502,68324,Nigeria,Visited Plans,"09/03/2025, 01:57 PM",,,,
9502,68324,Nigeria,Viewed Trainer: Mia Carter,"09/03/2025, 02:14 PM",,,,
9502,68324,Nigeria,Visited Contact,"09/03/2025, 02:11 PM",,,,
9502,68324,Nigeria,Viewed Trainer: Liam Smith,"09/03/2025, 02:22 PM",,,,
3515,15565,USA,Visited Plans,"08/20/2025, 01:47 PM",,,,
3515,15565,USA,Visited Home,"08/20/2025, 01:49 PM",,,,
3515,15565,USA,Viewed Trainer: Mia Carter,"08/20/2025, 01:57 PM",,,,
8543,16055,Nigeria,Viewed Trainer: Mia Carter,"08/05/2025, 01:47 PM",,,,
8543,16055,Nigeria,Viewed Plan: Pro,"08/05/2025, 01:59 PM",,,,
8543,16055,Nigeria,Viewed Trainer: Alex Johnson,"08/05/2025, 01:59 PM",,,,
3775,14010,Kenya,Visited Contact,"09/23/2025, 01:47 PM",,,,
3775,14010,Kenya,Viewed Trainer: Liam Smith,"09/23/2025, 02:02 PM",,,,
3775,14010,Kenya,Visited Plans,"09/23/2025, 02:11 PM",,,,
3775,14010,Kenya,Viewed Trainer: Alex Johnson,"09/23/2025, 01:56 PM",,,,
3775,14010,Kenya,Viewed Plan: Elite,"09/23/2025, 02:31 PM",,,,
2766,45550,UK,Visited Trainers,"08/27/2025, 01:47 PM",,,,
2766,45550,UK,Viewed Trainer: Mia Carter,"08/27/2025, 02:01 PM",,,,
2766,45550,UK,Viewed Trainer: Alex Johnson,"08/27/2025, 02:13 PM",,,,
2766,45550,UK,Viewed Plan: Pro,"08/27/2025, 02:20 PM",,,,
7040,33267,Kenya,Viewed Trainer: Alex Johnson,"10/09/2025, 01:47 PM",,,,
7040,33267,Kenya,Viewed Plan: Pro,"10/09/2025, 02:00 PM",,,,
7040,33267,Kenya,Viewed Plan: Elite,"10/09/2025, 02:17 PM",,,,
7040,33267,Kenya,Visited Trainers,"10/09/2025, 02:17 PM",,,,
7040,33267,Kenya,Visited Plans,"10/09/2025, 02:03 PM",,,,
7040,33267,Kenya,Viewed Trainer: Mia Carter,"10/09/2025, 02:57 PM",,,,
6598,33267,Kenya,Viewed Plan: Elite,"08/20/2025, 01:47 PM",,,,
6598,33267,Kenya,Visited Home,"08/20/2025, 02:01 PM",,,,
2089,33267,Kenya,Viewed Plan: Pro,"08/24/2025, 01:47 PM",,,,
2089,33267,Kenya,Visited Trainers,"08/24/2025, 01:59 PM",,,,
1311,76773,Egypt,Visited Contact,"09/22/2025, 01:47 PM",,,,
1311,76773,Egypt,Viewed Trainer: Mia Carter,"09/22/2025, 01:58 PM",,,,
1311,76773,Egypt,Viewed Trainer: Liam Smith,"09/22/2025, 02:15 PM",,,,
6945,76773,Egypt,Visited Trainers,"08/10/2025, 01:47 PM",,,,
6945,76773,Egypt,Visited Contact,"08/10/2025, 01:54 PM",,,,
4411,76773,Egypt,Viewed Plan: Elite,"10/27/2025, 01:47 PM",,,,
4411,76773,Egypt,Visited Plans,"10/27/2025, 01:57 PM",,,,
4411,76773,Egypt,Visited Trainers,"10/27/2025, 01:53 PM",,,,
9882,33712,Nigeria,Viewed Plan: Basic,"09/29/2025, 01:47 PM",,,,
9882,33712,Nigeria,Viewed Trainer: Mia Carter,"09/29/2025, 01:58 PM",,,,
9882,33712,Nigeria,Visited Contact,"09/29/2025, 01:57 PM",,,,
9882,33712,Nigeria,Visited Home,"09/29/2025, 02:29 PM",,,,
9882,33712,Nigeria,Viewed Plan: Elite,"09/29/2025, 02:07 PM",,,,
9882,33712,Nigeria,Viewed Trainer: Liam Smith,"09/29/2025, 02:07 PM",,,,
6179,15710,Egypt,Viewed Trainer: Mia Carter,"09/16/2025, 01:47 PM",,,,
6179,15710,Egypt,Visited Plans,"09/16/2025, 01:54 PM",,,,
6179,15710,Egypt,Visited Home,"09/16/2025, 02:05 PM",,,,
6179,15710,Egypt,Visited Trainers,"09/16/2025, 02:02 PM",,,,
